//Data from the SJØMIL database at the Institute of Marine Research. - 23.03.2023 
//When using the data the Institute of Marine Research must be credited.
//Redistribution of the data can only be done in agreement with the Institute of Marine Research.

Series_1: Fish ICES assessments - BS Capelin - 2016 assessment - Total Stock Biomass   '000 tonnes
Series_2: Fish observations - NEA Cod - Total biomass   '000 tonnes
Series_3: Zooplankton observations - Fixed areas/sections - Barents Sea - Dryweight (bottom-0 m) - Total   g/m2
Series_4: Climate observations - Fixed sections/straits - Vardø-North - Salinity - Annual mean   dimensionless
Series_5: Climate observations - Fixed sections/straits - Vardø-North - Temperature - Annual mean   Deg C

yyyy-mm-dd	Series_1	Series_2	Series_3	Series_4	Series_5		
1987-01-01	100.08		398.0		4.35		35.002		3.08	
1988-01-01	427.3018	285.0		3.17		34.985		3.34	
1989-01-01	868.875		271.0		5.67		34.949		3.79	
1990-01-01	5837.78		246.0		4.67		35.006		4.19	
1991-01-01	7281.83		352.0		4.25		35.036		4.06	
1992-01-01	5155.023	383.0		5.13		35.011		4.02	
1993-01-01	796.774		565.0		7.52		35.026		3.87	
1994-01-01	199.1341	761.0		12.83		34.996		3.76	
1995-01-01	193.5765	943.0		10.34		34.969		3.93	
1996-01-01	502.1133	701.0		7.51		34.945		3.05	
1997-01-01	910.0153	495.0		9.06		35.015		3.13	
1998-01-01	2054.7302	429.0		8.14		34.969		3.21	
1999-01-01	2774.1184	318.0		6.79		34.976		4.16	
2000-01-01	4273.8209	356.0		7.85		35.024		3.92	
2001-01-01	3629.1002	428.0		5.85		35.001		4.01	
2002-01-01	2208.7274	441.0		6.88		35.027		3.77	
2003-01-01	533.6095	546.0		6.5		    35.017		3.69	
2004-01-01	627.4865	413.0		7.74		35.041		4.19	
2005-01-01	324.0536	355.0		7.6		    35.069		4.48	
2006-01-01	787.1931	335.0		8.63		35.07		4.75	
2007-01-01	1881.4982	397.0		7.13		35.057		4.78	
2008-01-01	4426.4601	684.0		6.48		35.058		4.49	
2009-01-01	3755.6998	738.0		5.87		35.09		4.54	
2010-01-01	3498.0045	814.0		6.52		35.047		4.11	
2011-01-01	3707.6619	874.0		5.88		35.087		3.76	
2012-01-01	3585.7194	910.0		7.13		35.081		4.88	
2013-01-01	3955.7014	912.0		5.16		35.077		4.99
